Gameweek,Points,Total
1,41,41
2,79,120
3,43,163
4,63,226
5,26,252
6,28,280
7,34,314
8,60,374
9,37,411
10,64,475
11,48,523
12,47,570
13,34,604
14,36,640
15,47,687
16,51,738
17,82,820
18,52,872
19,35,907
20,51,958
21,42,1000
22,51,1051
23,48,1099
24,56,1155
25,69,1224
26,56,1280
27,36,1316
28,41,1357
29,68,1425
30,47,1472
31,51,1523
32,62,1585
33,88,1673
34,46,1719
35,40,1759
36,60,1819
37,43,1862
38,54,1916
