Gameweek,Points,Total
1,53,53
2,32,85
3,36,121
4,66,187
5,42,229
6,33,262
7,65,327
8,46,373
9,33,406
10,56,462
11,45,507
12,57,564
13,34,598
14,42,640
15,32,672
16,54,726
17,51,777
18,41,818
19,42,860
20,46,906
21,54,960
22,36,996
23,43,1039
24,48,1087
25,64,1151
26,39,1190
27,47,1237
28,52,1289
29,22,1311
30,47,1358
31,31,1389
32,44,1433
33,67,1500
34,43,1543
35,33,1576
36,76,1652
37,64,1716
38,28,1744
