Gameweek,Points,Total
1,58,58
2,48,106
3,44,150
4,45,195
5,24,219
6,45,264
7,44,308
8,38,346
9,45,391
10,39,430
11,43,473
12,29,502
13,36,538
14,59,597
15,65,662
16,63,725
17,59,784
18,43,827
19,41,868
20,45,913
21,33,946
22,37,983
23,38,1021
24,52,1073
25,35,1108
26,40,1148
27,32,1180
28,73,1253
29,61,1314
30,35,1349
31,36,1385
32,37,1422
33,49,1471
34,32,1503
35,63,1566
36,31,1597
37,42,1639
38,41,1680
